Sample.Label,Region.Label,Effort
T1_01,North,0.689
T1_02,North,0.689
T1_03,North,0.689
T1_04,North,0.689
T1_05,North,0.689
T1_06,North,0.689
T1_07,North,0.689
T1_08,North,0.689
T1_09,North,0.689
T1_10,North,0.689
T1_11,North,0.689
T2_01,North,0.700
T2_02,North,0.700
T2_03,North,0.700
T2_04,North,0.700
T2_05,North,0.700
T2_06,North,0.700
T2_07,North,0.700
T2_08,North,0.700
T2_09,North,0.700
T2_10,North,0.700
T2_11,North,0.700
T3_01,North,0.803
T3_02,North,0.803
T3_03,North,0.803
T3_04,North,0.803
T3_05,North,0.803
T3_06,North,0.803
T3_07,North,0.803
T3_08,North,0.803
T3_09,North,0.803
T3_10,North,0.803
T3_11,North,0.803
T4_01,North,0.469
T4_02,North,0.469
T4_03,North,0.469
T4_04,North,0.469
T4_05,North,0.469
T4_06,North,0.469
T4_07,North,0.469
T4_08,North,0.469
T4_09,North,0.469
T4_10,North,0.469
T4_11,North,0.469
T5_01,North,1.300
T5_02,North,1.300
T5_03,North,1.300
T5_04,North,1.300
T5_05,North,1.300
T5_06,North,1.300
T5_07,North,1.300
T5_08,North,1.300
T5_09,North,1.300
T5_10,North,1.300
T5_11,North,1.300
T6_01,North,2.440
T6_02,North,2.440
T6_03,North,2.440
T6_04,North,2.440
T6_05,North,2.440
T6_06,North,2.440
T6_07,North,2.440
T6_08,North,2.440
T6_09,North,2.440
T6_10,North,2.440
T6_11,North,2.440
T7_01,North,1.007
T7_02,North,1.007
T7_03,North,1.007
T7_04,North,1.007
T7_05,North,1.007
T7_06,North,1.007
T7_07,North,1.007
T7_08,North,1.007
T7_09,North,1.007
T7_10,North,1.007
T7_11,North,1.007
T8_01,North,0.933
T8_02,North,0.933
T8_03,North,0.933
T8_04,North,0.933
T8_05,North,0.933
T8_06,North,0.933
T8_07,North,0.933
T8_08,North,0.933
T8_09,North,0.933
T8_10,North,0.933
T8_11,North,0.933
T9_01,South,0.634
T9_02,South,0.634
T9_03,South,0.634
T9_04,South,0.634
T9_05,South,0.634
T9_06,South,0.634
T9_07,South,0.634
T9_08,South,0.634
T9_09,South,0.634
T9_10,South,0.634
T9_11,South,0.634
T10_01,South,1.038
T10_02,South,1.038
T10_03,South,1.038
T10_04,South,1.038
T10_05,South,1.038
T10_06,South,1.038
T10_07,South,1.038
T10_08,South,1.038
T10_09,South,1.038
T10_10,South,1.038
T10_11,South,1.038
T11_01,South,1.266
T11_02,South,1.266
T11_03,South,1.266
T11_04,South,1.266
T11_05,South,1.266
T11_06,South,1.266
T11_07,South,1.266
T11_08,South,1.266
T11_09,South,1.266
T11_10,South,1.266
T11_11,South,1.266
T12_01,South,1.187
T12_02,South,1.187
T12_03,South,1.187
T12_04,South,1.187
T12_05,South,1.187
T12_06,South,1.187
T12_07,South,1.187
T12_08,South,1.187
T12_09,South,1.187
T12_10,South,1.187
T12_11,South,1.187
T13_01,South,0.860
T13_02,South,0.860
T13_03,South,0.860
T13_04,South,0.860
T13_05,South,0.860
T13_06,South,0.860
T13_07,South,0.860
T13_08,South,0.860
T13_09,South,0.860
T13_10,South,0.860
T13_11,South,0.860
T14_01,South,1.484
T14_02,South,1.484
T14_03,South,1.484
T14_04,South,1.484
T14_05,South,1.484
T14_06,South,1.484
T14_07,South,1.484
T14_08,South,1.484
T14_09,South,1.484
T14_10,South,1.484
T14_11,South,1.484
T15_01,South,1.189
T15_02,South,1.189
T15_03,South,1.189
T15_04,South,1.189
T15_05,South,1.189
T15_06,South,1.189
T15_07,South,1.189
T15_08,South,1.189
T15_09,South,1.189
T15_10,South,1.189
T15_11,South,1.189
T16_01,South,1.314
T16_02,South,1.314
T16_03,South,1.314
T16_04,South,1.314
T16_05,South,1.314
T16_06,South,1.314
T16_07,South,1.314
T16_08,South,1.314
T16_09,South,1.314
T16_10,South,1.314
T16_11,South,1.314
T17_01,South,1.165
T17_02,South,1.165
T17_03,South,1.165
T17_04,South,1.165
T17_05,South,1.165
T17_06,South,1.165
T17_07,South,1.165
T17_08,South,1.165
T17_09,South,1.165
T17_10,South,1.165
T17_11,South,1.165
T18_01,South,0.704
T18_02,South,0.704
T18_03,South,0.704
T18_04,South,0.704
T18_05,South,0.704
T18_06,South,0.704
T18_07,South,0.704
T18_08,South,0.704
T18_09,South,0.704
T18_10,South,0.704
T18_11,South,0.704
T19_01,South,0.793
T19_02,South,0.793
T19_03,South,0.793
T19_04,South,0.793
T19_05,South,0.793
T19_06,South,0.793
T19_07,South,0.793
T19_08,South,0.793
T19_09,South,0.793
T19_10,South,0.793
T19_11,South,0.793
T20_01,South,0.743
T20_02,South,0.743
T20_03,South,0.743
T20_04,South,0.743
T20_05,South,0.743
T20_06,South,0.743
T20_07,South,0.743
T20_08,South,0.743
T20_09,South,0.743
T20_10,South,0.743
T20_11,South,0.743
T21_01,South,2.479
T21_02,South,2.479
T21_03,South,2.479
T21_04,South,2.479
T21_05,South,2.479
T21_06,South,2.479
T21_07,South,2.479
T21_08,South,2.479
T21_09,South,2.479
T21_10,South,2.479
T21_11,South,2.479
T22_01,South,2.573
T22_02,South,2.573
T22_03,South,2.573
T22_04,South,2.573
T22_05,South,2.573
T22_06,South,2.573
T22_07,South,2.573
T22_08,South,2.573
T22_09,South,2.573
T22_10,South,2.573
T22_11,South,2.573
